kqa_silver_wogold,0.791 ± 0.014,0.791 ± 0.014,0.792 ± 0.014,0.791 ± 0.014,0.801 ± 0.022,0.846 ± 0.025,0.896 ± 0.022,0.946 ± 0.015
kqa_silver_wogold,0.791 ± 0.014,0.791 ± 0.014,0.790 ± 0.013,0.791 ± 0.013,0.800 ± 0.023,0.847 ± 0.025,0.896 ± 0.021,0.946 ± 0.015
kqa_silver_wogold,0.791 ± 0.014,0.791 ± 0.014,0.791 ± 0.014,0.791 ± 0.014,0.801 ± 0.022,0.847 ± 0.025,0.896 ± 0.021,0.946 ± 0.015
kqa_silver_wogold,0.791 ± 0.014,0.791 ± 0.013,0.791 ± 0.014,0.791 ± 0.014,0.802 ± 0.023,0.849 ± 0.024,0.898 ± 0.020,0.948 ± 0.016
kqa_silver_wogold,0.791 ± 0.014,0.791 ± 0.014,0.792 ± 0.014,0.791 ± 0.014,0.801 ± 0.023,0.848 ± 0.025,0.899 ± 0.020,0.949 ± 0.015
kqa_silver_wogold,0.791 ± 0.014,0.791 ± 0.014,0.791 ± 0.014,0.791 ± 0.014,0.801 ± 0.022,0.845 ± 0.026,0.896 ± 0.020,0.946 ± 0.015
kqa_silver_wogold,0.790 ± 0.014,0.791 ± 0.014,0.791 ± 0.014,0.791 ± 0.014,0.803 ± 0.023,0.849 ± 0.024,0.900 ± 0.020,0.950 ± 0.015
kqa_silver_wogold,0.791 ± 0.013,0.792 ± 0.014,0.791 ± 0.013,0.791 ± 0.014,0.801 ± 0.023,0.850 ± 0.024,0.899 ± 0.021,0.949 ± 0.015
kqa_silver_wogold,0.791 ± 0.014,0.791 ± 0.014,0.791 ± 0.013,0.793 ± 0.018,0.810 ± 0.030,0.847 ± 0.037,0.897 ± 0.033,0.946 ± 0.025
kqa_silver_wogold,0.791 ± 0.014,0.792 ± 0.013,0.792 ± 0.014,0.792 ± 0.015,0.807 ± 0.026,0.848 ± 0.030,0.897 ± 0.025,0.948 ± 0.019
kqa_silver_wogold,0.791 ± 0.014,0.792 ± 0.014,0.791 ± 0.014,0.792 ± 0.015,0.804 ± 0.025,0.846 ± 0.030,0.898 ± 0.025,0.946 ± 0.019
kqa_silver_wogold,0.791 ± 0.013,0.791 ± 0.014,0.791 ± 0.014,0.791 ± 0.014,0.803 ± 0.025,0.849 ± 0.027,0.899 ± 0.022,0.947 ± 0.017
kqa_silver_wogold,0.791 ± 0.013,0.791 ± 0.014,0.792 ± 0.014,0.792 ± 0.015,0.807 ± 0.020,0.841 ± 0.022,0.891 ± 0.020,0.940 ± 0.014
