dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
06,0.747 ± 0.006,0.757 ± 0.006,0.800 ± 0.006,0.850 ± 0.005,0.900 ± 0.004,0.950 ± 0.003
medlfqav2_conditional_live_qa,0.648 ± 0.047,0.649 ± 0.050,0.698 ± 0.047,0.749 ± 0.044,0.798 ± 0.041,0.850 ± 0.035,0.901 ± 0.031,0.949 ± 0.022
medlfqav2_conditional_healthsearch,0.747 ± 0.008,0.748 ± 0.008,0.748 ± 0.008,0.750 ± 0.008,0.800 ± 0.007,0.850 ± 0.006,0.900 ± 0.006,0.950 ± 0.004
medlfqav2_conditional_kqa_silver_wogold,0.791 ± 0.013,0.791 ± 0.014,0.791 ± 0.014,0.791 ± 0.013,0.800 ± 0.013,0.851 ± 0.012,0.901 ± 0.010,0.951 ± 0.007
medlfqav2_conditional_medication_qa,0.672 ± 0.018,0.672 ± 0.019,0.701 ± 0.019,0.749 ± 0.017,0.802 ± 0.017,0.850 ± 0.014,0.901 ± 0.012,0.950 ± 0.008
medlfqav2_conditional_kqa_golden,0.712 ± 0.031,0.715 ± 0.033,0.714 ± 0.032,0.753 ± 0.031,0.802 ± 0.028,0.852 ± 0.024,0.901 ± 0.021,0.951 ± 0.016
medlfqav2_conditional,0.743 ± 0.006,0.743 ± 0.006,0.748 ± 0.008,0.759 ± 0.010,0.801 ± 0.011,0.851 ± 0.010,0.901 ± 0.008,0.951 ± 0.006
medlfqav2_conditional_conditional_healthsearch,0.748 ± 0.008,0.748 ± 0.008,0.747 ± 0.008,0.752 ± 0.013,0.801 ± 0.014,0.850 ± 0.013,0.901 ± 0.011,0.950 ± 0.008
medlfqav2_conditional_conditional_kqa_silver_wogold,0.792 ± 0.014,0.791 ± 0.013,0.791 ± 0.014,0.791 ± 0.014,0.803 ± 0.024,0.851 ± 0.023,0.901 ± 0.020,0.952 ± 0.015
medlfqav2_conditional_conditional_medication_qa,0.672 ± 0.019,0.671 ± 0.020,0.703 ± 0.036,0.750 ± 0.034,0.799 ± 0.033,0.851 ± 0.029,0.900 ± 0.024,0.952 ± 0.017
medlfqav2_conditional_conditional_kqa_golden,0.713 ± 0.032,0.714 ± 0.034,0.724 ± 0.045,0.756 ± 0.058,0.804 ± 0.057,0.854 ± 0.051,0.903 ± 0.042,0.950 ± 0.031
medlfqav2_conditional_conditional_live_qa,0.656 ± 0.056,0.678 ± 0.077,0.707 ± 0.085,0.762 ± 0.083,0.798 ± 0.081,0.865 ± 0.064,0.900 ± 0.059,0.962 ± 0.038
medlfqav2_conditional,0.742 ± 0.006,0.743 ± 0.006,0.748 ± 0.008,0.760 ± 0.010,0.801 ± 0.011,0.851 ± 0.010,0.901 ± 0.009,0.951 ± 0.006
medlfqav2_conditional_conditional_kqa_silver_wogold,0.790 ± 0.014,0.791 ± 0.014,0.791 ± 0.013,0.791 ± 0.014,0.804 ± 0.025,0.853 ± 0.024,0.903 ± 0.020,0.953 ± 0.015
medlfqav2_conditional_conditional_healthsearch,0.747 ± 0.008,0.748 ± 0.008,0.747 ± 0.008,0.753 ± 0.013,0.800 ± 0.014,0.850 ± 0.013,0.901 ± 0.011,0.950 ± 0.008
medlfqav2_conditional_conditional_live_qa,0.656 ± 0.056,0.680 ± 0.075,0.703 ± 0.086,0.763 ± 0.083,0.801 ± 0.079,0.863 ± 0.069,0.904 ± 0.059,0.959 ± 0.039
medlfqav2_conditional_conditional_medication_qa,0.671 ± 0.019,0.673 ± 0.021,0.703 ± 0.036,0.751 ± 0.034,0.802 ± 0.031,0.852 ± 0.029,0.901 ± 0.024,0.953 ± 0.017
medlfqav2_conditional_conditional_kqa_golden,0.711 ± 0.031,0.713 ± 0.032,0.723 ± 0.045,0.759 ± 0.058,0.805 ± 0.057,0.854 ± 0.049,0.902 ± 0.040,0.951 ± 0.029
medlfqav2_conditional,0.742 ± 0.006,0.743 ± 0.007,0.748 ± 0.007,0.760 ± 0.010,0.801 ± 0.011,0.851 ± 0.010,0.901 ± 0.008,0.951 ± 0.006
medlfqav2_conditional_conditional_healthsearch,0.747 ± 0.007,0.748 ± 0.008,0.748 ± 0.008,0.752 ± 0.013,0.800 ± 0.014,0.850 ± 0.013,0.900 ± 0.011,0.950 ± 0.008
medlfqav2_conditional_conditional_kqa_silver_wogold,0.791 ± 0.014,0.790 ± 0.014,0.791 ± 0.014,0.791 ± 0.013,0.802 ± 0.024,0.852 ± 0.024,0.903 ± 0.019,0.952 ± 0.014
medlfqav2_conditional_conditional_medication_qa,0.671 ± 0.019,0.673 ± 0.022,0.701 ± 0.035,0.752 ± 0.035,0.801 ± 0.032,0.852 ± 0.030,0.903 ± 0.024,0.953 ± 0.017
medlfqav2_conditional_conditional_kqa_golden,0.712 ± 0.032,0.714 ± 0.033,0.723 ± 0.045,0.756 ± 0.058,0.803 ± 0.054,0.854 ± 0.050,0.900 ± 0.042,0.953 ± 0.028
medlfqav2_conditional_conditional_live_qa,0.654 ± 0.055,0.678 ± 0.077,0.707 ± 0.084,0.763 ± 0.083,0.802 ± 0.078,0.867 ± 0.067,0.902 ± 0.056,0.960 ± 0.039
